"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	270	Not Applicable	Not Applicable
"Total"	"2014"	"2014"	"Asian or Pacific Islander"	"A-PI"			61570	19398214	317.4
	"2014"	"2014"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	3324	2992875	111.1
	"2014"	"2014"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	303844	41316519	735.4
	"2014"	"2014"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1792	Not Applicable	Not Applicable
"Total"	"2014"	"2014"	"Black or African American"	"2054-5"			308960	44309394	697.3
	"2014"	"2014"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	164374	49581674	331.5
	"2014"	"2014"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2066949	201048793	1028.1
	"2014"	"2014"	"White"	"2106-3"	"Not Stated"	"NS"	6557	Not Applicable	Not Applicable
"Total"	"2014"	"2014"	"White"	"2106-3"			2237880	250630467	892.9
"Total"	"2014"	"2014"					2626418	318857056	823.7
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	921	1888147	48.8
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	18039	2689706	670.7
	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	56	Not Applicable	Not Applicable
"Total"	"2015"	"2015"	"American Indian or Alaska Native"	"1002-5"			19016	4577853	415.4
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	1066	986160	108.1
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	65277	19116557	341.5
	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	338	Not Applicable	Not Applicable
"Total"	"2015"	"2015"	"Asian or Pacific Islander"	"A-PI"			66681	20102717	331.7
	"2015"	"2015"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	2808	3085713	91.0
	"2015"	"2015"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	315254	41777483	754.6
	"2015"	"2015"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	2010	Not Applicable	Not Applicable
"Total"	"2015"	"2015"	"Black or African American"	"2054-5"			320072	44863196	713.4
	"2015"	"2015"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	174662	50632773	345.0
	"2015"	"2015"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2123631	201242281	1055.3
	"2015"	"2015"	"White"	"2106-3"	"Not Stated"	"NS"	8568	Not Applicable	Not Applicable
"Total"	"2015"	"2015"	"White"	"2106-3"			2306861	251875054	915.9
"Total"	"2015"	"2015"					2712630	321418820	844.0
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	995	1919088	51.8
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	18595	2711067	685.9
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	118	Not Applicable	Not Applicable
"Total"	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"			19708	4630155	425.6
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	1148	1007794	113.9
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	68235	19479730	350.3
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	275	Not Applicable	Not Applicable
"Total"	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"			69658	20487524	340.0
	"2016"	"2016"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	3285	3165351	103.8
	"2016"	"2016"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	326810	42141669	775.5
	"2016"	"2016"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1693	Not Applicable	Not Applicable
"Total"	"2016"	"2016"	"Black or African American"	"2054-5"			331788	45307020	732.3
	"2016"	"2016"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	182826	51378054	355.8
	"2016"	"2016"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2133463	201324760	1059.7
	"2016"	"2016"	"White"	"2106-3"	"Not Stated"	"NS"	6805	Not Applicable	Not Applicable
"Total"	"2016"	"2016"	"White"	"2106-3"			2323094	252702814	919.3
"Total"	"2016"	"2016"					2744248	323127513	849.3
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	1095	1959872	55.9
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	19198	2729175	703.4
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	87	Not Applicable	Not Applicable
"Total"	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"			20380	4689047	434.6
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	1212	1032554	117.4
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	72598	20178119	359.8
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	284	Not Applicable	Not Applicable
"Total"	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"			74094	21210673	349.3
	"2017"	"2017"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	3198	3259446	98.1
	"2017"	"2017"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	335667	42624362	787.5
	"2017"	"2017"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1779	Not Applicable	Not Applicable
"Total"	"2017"	"2017"	"Black or African American"	"2054-5"			340644	45883808	742.4
	"2017"	"2017"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	191744	52694857	363.9
	"2017"	"2017"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2179857	201240793	1083.2
	"2017"	"2017"	"White"	"2106-3"	"Not Stated"	"NS"	6784	Not Applicable	Not Applicable
"Total"	"2017"	"2017"	"White"	"2106-3"			2378385	253935650	936.6
"Total"	"2017"	"2017"					2813503	325719178	863.8
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	1201	1993449	60.2
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	19491	2745839	709.8
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	76	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"			20768	4739288	438.2
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	1270	1054319	120.5
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	75266	20546745	366.3
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	341	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"			76877	21601064	355.9
	"2018"	"2018"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	3909	3328020	117.5
	"2018"	"2018"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	343393	42934826	799.8
	"2018"	"2018"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1551	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Black or African American"	"2054-5"			348853	46262846	754.1
	"2018"	"2018"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	198339	53495958	370.8
	"2018"	"2018"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2188349	201068278	1088.4
	"2018"	"2018"	"White"	"2106-3"	"Not Stated"	"NS"	6019	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"White"	"2106-3"			2392707	254564236	939.9
"Total"	"2018"	"2018"					2839205	327167434	867.8
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"Hispanic or Latino"	"2135-2"	1358	2019760	67.2
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"Not Hispanic or Latino"	"2186-2"	19696	2765443	712.2
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"Not Stated"	"NS"	64	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"			21118	4785203	441.3
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"Hispanic or Latino"	"2135-2"	1362	1054158	129.2
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"Not Hispanic or Latino"	"2186-2"	77474	20760566	373.2
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"Not Stated"	"NS"	303	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"			79139	21814724	362.8
	"2019"	"2019"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	4198	3363590	124.8
	"2019"	"2019"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	348761	43235803	806.6
	"2019"	"2019"	"Black or African American"	"2054-5"	"Not Stated"	"NS"	1390	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"Black or African American"	"2054-5"			354349	46599393	760.4
	"2019"	"2019"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	205479	54134729	379.6
	"2019"	"2019"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	2189567	200905474	1089.8
	"2019"	"2019"	"White"	"2106-3"	"Not Stated"	"NS"	5186	Not Applicable	Not Applicable
"Total"	"2019"	"2019"	"White"	"2106-3"			2400232	255040203	941.1
"Total"	"2019"	"2019"					2854838	328239523	869.7
"Total"							53422612	6416872524	832.5
"---"
"Dataset: Underlying Cause of Death, 1999-2019"
"Query Parameters:"
"Group By: Year; Race; Hispanic Origin"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jun 6, 2021 1:42:51 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Jun 6, 2021 1:42:51 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"3. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences."
"4. The population figures for year 2019 are bridged-race estimates of the July 1 resident population, from the Vintage 2019"
"postcensal series released by NCHS on July 9, 2020. The population figures for year 2018 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2018 postcensal series released by NCHS on June 25, 2019. The population figures for"
"year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017 postcensal series released by NCHS"
"on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The"
"population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal"
"series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13,"
"2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident population, from the Vintage 2011"
"postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population"
"figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from the revised intercensal"
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts."
"Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for the infant age"
"groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from"
"previously published reports, due to use of the population estimates which were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
